Inventory #,BOOK,AUTHOR,CLASS,CONDITION,ISBN
SP23-1,PRECALCULUS ,SULLIVAN,MATH 244,NEW LOOSE LEAF,9780136165729
SP23-2,PRECALCULUS ,SULLIVAN,MATH 244,NEW LOOSE LEAF,9780136165729
SP23-3,ELEMENTARY & INTERMEDIATE ALGEBRA ,SULLIVAN,N/A,NEW LOOSE LEAF,9780134592886
SP23-4,WORLDS OF HISTORY VOL TWO: SINCE 1400 5TH EDITION,REILLY,HIST 107 ,USED HARDCOPY,9781457617836
SP23-5,BRAVE NEW WORLDS (DYSTOPIAN STORIES),JOHN JOSEPH ADAMS,N/A,USED HARDCOPY,9781597804547
SP23-6,"FOOD, INC. ",KARL WEBER,N/A,USED HARDCOPY,9781586486945
SP23-7,NATIONAL PROFILE OF COMMUNITY COLLEGES: TRENDS AND STATISTICS 4TH EDITION,Leila Gonzalez Sullivan,N/A,USED HARDCOPY,9780871173652
SP23-8,"FRISK, Fundamentals for Evaluators in Addressing Below-Standard Employee Performance",STEVEN J. ,N/A,USED HARDCOPY,N/A
SP23-9,The Job-Seekers' Bible,Lawrence E. Barlow,N/A,NEW HARDCOPY,9780940150003
SP23-10,The Job-Seekers' Bible,Lawrence E. Barlow,N/A,USED HARDCOPY,9780940150003
SP23-11,Sociology: The Essentials,Margaret L. Anderson,N/A,USED HARDCOPY,9781305503083
SP23-12,Understanding Human Communication,Ronald B. Adler,COMM 103,USED HARDCOPY,9780190925697
SP23-13,Elementary Statistics ,Mario F. Triola,MATH 119,USED HARDCOPY,9780321836960
SP23-14,Chemistry: The Molecular Nature of Matter and Change,Silberberg,CHEM 200/210,USED LOOSE LEAF,9781260477405
SP23-15,Chemistry: Student Lab Notebook,Hayden-Mcneil,CHEM ,USED LOOSE LEAF,9781930882744
SP23-16,College Algebra: Eleventh Edition,Sullivan,MATH 101,USED LOOSE LEAF,9780135163023
SP23-17,Calculus: Single Variable 3rd Edition,Briggs,MATH 250/251,NEW LOOSE LEAF,9780134769783
SP23-18,Society: The Basics 13th Edition,John J. Macionis,SOC 101,USED HARDCOPY,9780205982516
SP23-19,"Out of Many: A History of the American People Vol 1, 8th Edition",John Mack Faragher,N/A,USED HARDCOPY,9780205962051
SP23-20,Mexicanos: A History of Mexicans in the United States 3rd Edition,Manuel G. Gonzales,N/A,USED HARDCOPY,9780253041722
SP23-21,The Art of Public Speaking,Stephen E. Lucas,COMM 104,USED HARDCOPY,9780073523910
SP23-22,World History to 1648,Jay P. Anglin,N/A,USED HARDCOPY,9780064671231
SP23-23,GOVT: Principles of American Government 11th Edition,Sidlow and Henschen,PS 101/102,USED HARDCOPY,9780357459799
SP23-24,Understanding Human Communication,Ronald B. Adler,COMM 103,USED HARDCOPY,9780190925697
SP23-25,Calculus: Single Variable 3rd Edition,Briggs,MATH 250/251,USED LOOSE LEAF,9780134769783
SP23-26,College & Career Success 8th Edition,Marsha Fralick,PD 100A/100/114,USED HARDCOPY,9781524998899
SP23-27,Calculus: Multivariable Third Edition,Briggs,MATH 252,USED HARDCOPY,9780134766799
SP23-28,"Chemistry: Molecular Nature of Matter and Change 9th Edition, Vol. I",Silberberg,CHEM 200,NEW HARDCOPY,9781307822274
SP23-29,"Vertebrates: Comparative Anatomy, Function, Evolution 6th Edition",K.V. Kardong,BIOL 210,USED HARDCOPY,9780073524238
SP23-30,Give Me Liberty!: An American History Seagull 6th Edition Vol. 1,Eric Foner,HIST 100,USED HARDCOPY,9780393418248
SP23-31,Rules for Writers 9th Edition,Diana Hacker,ENG 115,USED HARDCOPY,9781319057428
SP23-32,Animals Without Backbones: An Introduction to Invertebrates ,Buchsbaum,BIOL 210,USED HARDCOPY,9780226078748
SP23-33,Sociology: A Brief Introduction 7th Edition,Alex Thio,N/A,USED HARDCOPY,9780205547098
SP23-34,Chemistry: The Molecular Nature of Matter and Change 7th Edition,Silberberg,CHEM 200/210,USED HARDCOPY,9781260477405
SP23-35,Chemistry: The Molecular Nature of Matter and Change 7th Edition,Silberberg,CHEM 200/211,USED HARDCOPY,9781260477405
SP23-36,Beyond Traditional Job Development: Art of Creating Opportunity,Bissonnette ,N/A,USED HARDCOPY,9780942071290
SP23-37,Learning How To Learn,Oakley,N/A,USED HARDCOPY,9780143132547
SP23-38,Dynamics of Placement,Shingleton,N/A,USED HARDCOPY,9780914885092
SP23-39,A Dream Called Home: A Memoir,Reyna Grande,N/A,USED HARDCOPY,9781501171437
SP23-40,Beyond Blue Suits and Resumes,A.L. Segall,N/A,USED HARDCOPY,9780963494030
SP23-41,Webster's New Collegiate Dictionary,Merriam-Webster,N/A,USED HARDCOPY,9780877793991
SP23-42,Animals Without Backbones: An Introduction to Invertebrates (3rd Edition),Buchsbaum,BIOL 210,USED HARDCOPY,9780226078748
SP23-43,A Different Mirror: A History of Multicultural America,Takaki,HIST 100,USED HARDCOPY,9780316022361
SP23-44,America: A Concise History Vol 1: To 1877 5th Edition,Henretta,HIST 100,USED HARDCOPY,9780312643287
SP23-45,A Pocket Style Manual Eighth Edition ,Diana Hacker,N/A,USED HARDCOPY,9781319057404
SP23-46,Sustainability Second Edition,C.R. Weisser,N/A,USED HARDCOPY,9781319056612
SP23-47,Discovering the Universe Tenth Edition,Comins,N/A,USED HARDCOPY,9781464140860
SP23-48,"English Composition: Connect, Collaborate, Communicate",Inoshita,N/A,USED HARDCOPY,9781948027069
SP23-49,Introductory Statistics,Openstax,MATH 119,USED HARDCOPY,9781506698236
SP23-50,Born To Win: Transactional Analysis with Gestalt Experiments ,Muriel James,N/A,USED HARDCOPY,9780201590449
SP23-51,California Government and Politics Today 14th Edition,Mona Field,PS 101/102,USED HARDCOPY,9780205251780
SP23-52,"The Mexico Reader: History, Culture, Politics ",Jospeh & Henderson,N/A,USED HARDCOPY,9780822330424
SP23-53,Principles of Animal Behavior,Dugatkin,N/A,USED HARDCOPY,9780393920451